Jet,Constituent,Eta,Phi,Px,Py,Pz,P
0,0,-1.900143,2.132389,-0.155794,0.247618,-0.956250,1407.443920
0,1,-1.903806,2.145964,-0.158585,0.244622,-0.956562,177.941297
0,2,-1.639393,1.822615,-0.093213,0.362303,-0.927388,99.655405
0,3,-1.898495,2.120084,-0.152976,0.249910,-0.956108,113.262905
0,4,-1.901425,2.135416,-0.156351,0.246843,-0.956359,67.699210
0,5,-1.906369,2.154949,-0.160382,0.242592,-0.956779,56.468532
0,6,-1.901975,2.121550,-0.152833,0.248856,-0.956406,40.689024
0,7,-1.903806,2.153288,-0.160372,0.243454,-0.956562,37.517743
0,8,-1.590869,1.735210,-0.064038,0.385978,-0.920282,24.620312
0,9,-1.588122,1.890095,-0.123126,0.372419,-0.919861,17.268399
0,10,-1.497482,2.434936,-0.324039,0.276642,-0.904692,13.495572
0,11,-1.670522,1.861484,-0.104164,0.348185,-0.931621,15.627920
0,12,-1.787713,2.195186,-0.190328,0.264140,-0.945519,14.757872
0,13,-1.924497,1.898200,-0.091913,0.270628,-0.958286,15.348366
0,14,-1.927976,2.346553,-0.199474,0.203358,-0.958570,13.171278
0,15,-1.666311,1.922229,-0.125601,0.342560,-0.931062,9.908541
0,16,-1.591418,1.794784,-0.086861,0.381288,-0.920366,9.234788
0,17,-2.078310,1.781692,-0.051585,0.240964,-0.969162,12.649700
0,18,-1.554796,2.682897,-0.362616,0.179069,-0.914573,7.620866
0,19,-1.906552,2.139033,-0.156474,0.245070,-0.956795,10.418416
0,20,-1.585376,1.840873,-0.104918,0.378982,-0.919437,7.609125
0,21,-1.992431,2.191274,-0.155675,0.217840,-0.963489,10.898184
0,22,-1.820307,2.327028,-0.216608,0.229627,-0.948869,8.414641
0,23,-1.583361,1.655125,-0.033183,0.392566,-0.919125,6.420097
0,24,-2.017701,1.976236,-0.103064,0.240118,-0.965257,9.313330
0,25,-2.081057,2.084736,-0.120823,0.214019,-0.969329,8.463560
0,26,-1.664113,1.725839,-0.056458,0.361222,-0.930769,5.561163
0,27,-1.596728,1.964409,-0.149249,0.359391,-0.921175,3.912278
0,28,-1.778375,1.309422,0.084875,0.317298,-0.944520,4.537121
0,29,-2.189093,2.588661,-0.188290,0.116202,-0.975215,5.728900
0,30,-1.838435,2.532116,-0.254415,0.177617,-0.950645,4.069514
0,31,-2.070803,2.345962,-0.173715,0.177307,-0.968703,4.768269
0,32,-2.180853,2.707398,-0.202349,0.093830,-0.974808,5.135768
0,33,-1.252297,1.964425,-0.202706,0.488092,-0.848926,2.002973
0,34,-1.903439,2.490984,-0.232055,0.176632,-0.956531,3.392157
0,35,-2.428419,1.811782,-0.041764,0.169935,-0.984570,4.701674
0,36,-2.140019,2.598998,-0.198758,0.119843,-0.972694,3.174666
0,37,-1.689749,1.440467,0.046392,0.353944,-0.934115,2.024408
0,38,-2.111637,2.134935,-0.127568,0.201615,-0.971122,2.865212
0,39,-2.314341,2.267947,-0.125679,0.150077,-0.980654,3.439784
0,40,-1.318216,1.666268,-0.047612,0.497181,-0.866340,1.310999
0,41,-2.299692,2.083273,-0.097372,0.173071,-0.980084,3.270254
0,42,-2.185614,2.005829,-0.093565,0.201333,-0.975044,2.914131
0,43,-1.164403,2.139036,-0.306104,0.479420,-0.822470,1.074751
0,44,-1.624378,1.630427,-0.022607,0.378667,-0.925257,1.608977
0,45,-1.638478,1.750352,-0.066869,0.368400,-0.927259,1.604046
0,46,-1.689932,2.500950,-0.286139,0.213329,-0.934139,1.633484
0,47,-2.085635,2.102891,-0.124136,0.210852,-0.969604,2.227076
0,48,-1.988952,2.020566,-0.116796,0.241929,-0.963239,1.480400
0,49,-1.325907,1.631980,-0.030336,0.495207,-0.868245,0.755843
0,50,-2.171697,1.573580,-0.000626,0.225043,-0.974349,1.630539
0,51,-1.885311,2.349482,-0.208405,0.211222,-0.954962,1.229229
0,52,-1.612293,2.026914,-0.168964,0.344387,-0.923498,0.803825
0,53,-1.412336,1.908655,-0.152430,0.433867,-0.887989,0.574961
0,54,-1.395123,1.804940,-0.108333,0.454191,-0.884293,0.529919
0,55,-1.377728,1.947030,-0.174214,0.440990,-0.880441,0.352961
1,0,0.012635,-0.760863,0.724183,-0.689492,0.012634,145.011574
1,1,-0.002380,-0.751292,0.730805,-0.682582,-0.002380,59.625169
1,2,0.015381,-0.758519,0.725770,-0.687766,0.015380,48.849528
1,3,0.287484,-1.028449,0.495529,-0.822285,0.279818,29.832333
1,4,-0.002197,-0.797290,0.698647,-0.715463,-0.002197,27.093815
1,5,0.282357,-1.050814,0.477696,-0.834347,0.275085,24.085472
1,6,0.042848,-0.919461,0.605693,-0.794546,0.042822,22.082756
1,7,0.179632,-1.070541,0.472014,-0.863491,0.177724,19.259734
1,8,0.226508,-1.156579,0.392365,-0.892440,0.222713,17.598245
1,9,0.066286,-0.921512,0.603291,-0.794770,0.066189,15.040796
1,10,0.230903,-1.003742,0.523141,-0.821490,0.226885,14.326744
1,11,0.260750,-1.063412,0.469830,-0.845125,0.254997,13.977702
1,12,0.002197,-0.703831,0.762367,-0.647142,0.002197,8.796896
1,13,0.336192,-1.036751,0.481548,-0.814302,0.324073,9.265676
1,14,0.104190,-0.964286,0.566924,-0.817203,0.103815,8.656147
1,15,-0.007874,-0.782154,0.709375,-0.704787,-0.007874,8.547140
1,16,0.279794,-1.058725,0.471411,-0.838688,0.272714,8.883607
1,17,-0.062990,-1.014581,0.526930,-0.847577,-0.062907,7.871058
1,18,0.056215,-0.881080,0.635314,-0.770209,0.056156,7.417955
1,19,-0.161321,-1.031963,0.506529,-0.847259,-0.159936,5.678567
1,20,-0.033509,-0.847684,0.661350,-0.749329,-0.033497,5.503088
1,21,0.336558,-1.034799,0.483080,-0.813264,0.324401,5.211529
1,22,0.166448,-0.749142,0.722246,-0.671685,0.164928,4.720900
1,23,0.215339,-1.103547,0.440187,-0.872503,0.212071,4.165049
1,24,0.322275,-1.414103,0.148285,-0.938584,0.311563,4.275301
1,25,0.190619,-0.963021,0.560823,-0.806229,0.188343,3.179958
1,26,-0.024354,-1.012827,0.529308,-0.848080,-0.024349,3.104436
1,27,0.029298,-1.001785,0.538568,-0.842073,0.029289,3.054045
1,28,-0.323923,-0.474725,0.844713,-0.434119,-0.313050,3.117641
1,29,0.408704,-0.830100,0.622116,-0.680378,0.387372,2.893915
1,30,-0.006775,-0.943287,0.587117,-0.809474,-0.006775,2.628967
1,31,0.292245,-1.168106,0.375735,-0.882073,0.284200,2.644189
1,32,0.198859,-0.894563,0.613686,-0.764765,0.196278,2.212968
1,33,0.254891,-0.901499,0.600812,-0.759453,0.249510,1.551008
1,34,-0.111881,-0.481063,0.880984,-0.459841,-0.111416,1.479917
1,35,-0.447707,-0.560376,0.768718,-0.482350,-0.420012,1.465621
1,36,-0.010437,-0.363985,0.934435,-0.355981,-0.010437,1.102599
1,37,-0.004578,-0.969943,0.565341,-0.824845,-0.004578,1.086925
1,38,0.306162,-0.819059,0.652107,-0.697555,0.296941,1.120868
1,39,0.225593,-0.960664,0.558699,-0.799151,0.221842,1.048589
1,40,0.581561,-0.393752,0.786656,-0.326815,0.523799,1.189976
1,41,-0.040651,-0.508423,0.872792,-0.486399,-0.040628,0.962709
1,42,0.354869,-1.416654,0.144348,-0.929030,0.340687,1.010137
1,43,-0.128544,-1.042504,0.499923,-0.856582,-0.127841,0.871408
1,44,-0.338023,-0.607334,0.776393,-0.539561,-0.325711,0.898095
1,45,-0.250496,-1.593318,-0.021831,-0.969180,-0.245385,0.813445
1,46,0.269906,-1.159418,0.385737,-0.884169,0.263537,0.788114
1,47,-0.022523,-1.373975,0.195503,-0.980444,-0.022519,0.735538
1,48,0.576250,-0.327263,0.808869,-0.274587,0.519935,0.841996
1,49,0.279977,-1.118692,0.420279,-0.865390,0.272884,0.621741
1,50,0.417493,-1.045252,0.460927,-0.794774,0.394817,0.617553
1,51,0.123051,-1.199944,0.359683,-0.925007,0.122433,0.564304
1,52,-0.302866,-1.197698,0.348401,-0.890068,-0.293933,0.562954
1,53,0.090640,-1.403661,0.165677,-0.982029,0.090393,0.535885
1,54,0.108585,-1.524359,0.046149,-0.993062,0.108160,0.430504
1,55,0.101810,-0.916340,0.605586,-0.789285,0.101459,0.395596
1,56,-0.320627,-0.814189,0.652625,-0.691328,-0.310074,0.379804
1,57,-0.638325,-1.156289,0.332638,-0.755995,-0.563758,0.425356
1,58,0.713584,-0.882550,0.501888,-0.610278,0.612919,0.429176
1,59,-0.322642,-0.648949,0.756977,-0.574202,-0.311894,0.332761
1,60,0.696738,-0.917115,0.485441,-0.633711,0.602293,0.346511
1,61,0.286752,-1.366348,0.194956,-0.940251,0.279143,0.219797
1,62,-0.014832,-1.207359,0.355450,-0.934578,-0.014831,0.204734
1,63,0.711570,-0.595625,0.654888,-0.443840,0.611660,0.216484
