jet,constituent,eta,phi,px,py,pz,p
0,0,-0.454665,-1.770855,-0.179818,-0.886805,-0.425726,221.306877
0,1,-0.458153,-1.656398,-0.077247,-0.900197,-0.428577,160.901147
0,2,-0.460707,-1.768902,-0.177626,-0.884862,-0.430661,121.189260
0,3,-0.456130,-1.771050,-0.179879,-0.886216,-0.426925,119.154631
0,4,-0.452102,-1.651515,-0.073039,-0.902888,-0.423625,99.217562
0,5,-0.457595,-1.769585,-0.178469,-0.885924,-0.428122,97.720966
0,6,-0.446634,-1.658156,-0.079215,-0.904465,-0.419128,92.036589
0,7,-0.456130,-1.770757,-0.179620,-0.886269,-0.426925,90.817380
0,8,-0.457228,-1.769097,-0.178064,-0.886150,-0.427823,77.652828
0,9,-0.458876,-1.768511,-0.177419,-0.885628,-0.429168,72.933124
0,10,-0.452652,-1.767730,-0.177197,-0.888122,-0.424077,53.243544
0,11,-0.459243,-1.767632,-0.176614,-0.885644,-0.429467,51.732526
0,12,-0.442948,-1.663332,-0.084025,-0.905435,-0.416085,42.717097
0,13,-0.446059,-1.659132,-0.080118,-0.904605,-0.418654,40.122956
0,14,-0.457961,-1.772515,-0.181036,-0.885258,-0.428421,37.766467
0,15,-0.427387,-1.654738,-0.076729,-0.911918,-0.403135,28.598753
0,16,-0.380765,-1.680227,-0.101747,-0.926071,-0.363372,25.827996
0,17,-0.466018,-1.763432,-0.172387,-0.883787,-0.434976,26.462697
0,18,-0.441489,-1.636475,-0.059717,-0.907915,-0.414878,24.625577
0,19,-0.453576,-1.771538,-0.180508,-0.887093,-0.424834,23.007603
0,20,-0.442223,-1.763432,-0.174140,-0.892775,-0.415485,22.485848
0,21,-0.464919,-1.788629,-0.194691,-0.879583,-0.434085,21.957891
0,22,-0.438917,-1.763824,-0.174729,-0.893930,-0.412747,20.996965
0,23,-0.491122,-1.749370,-0.158165,-0.876277,-0.455106,17.696715
0,24,-0.388028,-1.678763,-0.100124,-0.923757,-0.369659,16.109853
0,25,-0.469152,-1.765973,-0.174393,-0.882139,-0.437514,15.725579
0,26,-0.434156,-1.751812,-0.164299,-0.897718,-0.408789,14.415771
0,27,-0.419167,-1.661380,-0.083056,-0.914388,-0.396229,13.248421
0,28,-0.440239,-1.807476,-0.213455,-0.884970,-0.413843,11.019132
0,29,-0.389699,-1.694582,-0.114653,-0.921487,-0.371101,10.339910
0,30,-0.456862,-1.767045,-0.176273,-0.886652,-0.427523,10.007557
0,31,-0.472060,-1.771149,-0.178728,-0.880101,-0.439863,8.868893
0,32,-0.483963,-1.668506,-0.087148,-0.889064,-0.449411,7.389879
0,33,-0.465627,-1.805815,-0.209714,-0.875838,-0.434659,6.770697
0,34,-0.445143,-1.669971,-0.089952,-0.904030,-0.417898,4.716770
0,35,0.183213,-1.497021,0.072489,-0.980773,0.181190,4.238117
0,36,0.241523,-1.324652,0.236728,-0.942243,0.236934,3.892074
0,37,-0.481033,-1.789120,-0.193742,-0.873265,-0.447070,4.019796
0,38,-0.424085,-1.771151,-0.182370,-0.898024,-0.400366,3.821611
0,39,-0.309458,-1.663915,-0.088703,-0.949824,-0.299944,3.410957
0,40,0.096465,-1.171329,0.387125,-0.916998,0.096167,2.592092
0,41,-0.539994,-1.601811,-0.026980,-0.869620,-0.492984,2.740989
0,42,-0.437269,-1.727099,-0.141885,-0.900354,-0.411378,2.457840
0,43,-0.022889,-1.659333,-0.088398,-0.995822,-0.022885,1.924332
0,44,-0.461257,-1.636384,-0.059137,-0.900360,-0.431108,1.980615
0,45,-0.326670,-1.615191,-0.042113,-0.947982,-0.315526,1.882285
0,46,-0.401746,-1.642927,-0.066620,-0.921989,-0.381442,1.719879
0,47,-0.364757,-1.698790,-0.119599,-0.929310,-0.349397,1.396616
0,48,0.149572,-1.316553,0.248726,-0.957127,0.148467,1.169208
0,49,-0.536515,-1.487359,0.072634,-0.868496,-0.490346,1.303162
0,50,-0.089724,-1.732582,-0.160434,-0.982982,-0.089484,0.968240
0,51,-0.303756,-1.778562,-0.197110,-0.935025,-0.294746,0.898305
0,52,0.164617,-1.373192,0.193690,-0.967402,0.163146,0.590925
0,53,-0.543474,-1.482082,0.076952,-0.865128,-0.495613,0.613343
0,54,-0.637043,-1.581977,-0.009241,-0.826485,-0.562883,0.578941
0,55,-0.194707,-1.766659,-0.190981,-0.962577,-0.192283,0.327896
0,56,-0.476139,-1.762942,-0.171191,-0.879952,-0.443146,0.267167
0,57,-0.487808,-1.158729,0.357161,-0.817131,-0.452475,0.214908
0,58,-0.091922,-2.352026,-0.701189,-0.707059,-0.091664,0.129206
0,59,-0.216620,-1.011944,0.518012,-0.828353,-0.213295,0.093022
0,60,-0.785546,-2.331028,-0.520170,-0.547034,-0.655879,0.012330
1,0,0.558858,1.134214,0.364437,0.781028,0.507130,317.913456
1,1,0.558496,1.135777,0.363283,0.781740,0.506861,200.109547
1,2,0.561236,1.134605,0.363692,0.780228,0.508894,151.162367
1,3,0.565638,1.139390,0.359146,0.780204,0.512149,102.238709
1,4,0.551176,1.126499,0.371890,0.781214,0.501401,83.866441
1,5,0.905852,1.274257,0.203049,0.664541,0.719136,82.839264
1,6,0.568746,1.131773,0.364497,0.776206,0.514437,50.654327
1,7,0.916288,1.285684,0.193977,0.661815,0.724136,56.504559
1,8,0.902408,1.247987,0.220981,0.660611,0.717468,54.416787
1,9,0.547370,1.115464,0.381213,0.778542,0.498547,39.654487
1,10,0.942106,1.253652,0.211056,0.643026,0.736188,49.684048
1,11,0.919957,1.254140,0.214182,0.653627,0.725877,45.001503
1,12,0.932917,1.248769,0.215643,0.646333,0.731951,31.508797
1,13,0.574952,1.129625,0.364991,0.772939,0.518987,22.977343
1,14,0.702957,1.183043,0.300703,0.736240,0.606241,18.006614
1,15,0.649889,1.159703,0.327896,0.752172,0.571595,17.300052
1,16,0.947417,1.228945,0.225991,0.635123,0.738611,18.519195
1,17,0.923297,1.240857,0.222305,0.649147,0.727454,17.090207
1,18,0.596065,1.070149,0.405753,0.741585,0.534244,13.678084
1,19,0.934515,1.190955,0.252333,0.632053,0.732692,12.673376
1,20,0.937162,1.219958,0.233445,0.637864,0.733916,11.760608
1,21,0.948080,1.235583,0.221661,0.636298,0.738913,11.768587
1,22,0.534435,1.129137,0.372905,0.788702,0.488764,8.762482
1,23,0.621113,1.105894,0.373871,0.745402,0.551902,9.115580
1,24,0.802510,1.263809,0.225569,0.711556,0.665438,9.958549
1,25,0.577085,1.170350,0.332850,0.786286,0.520543,8.257777
1,26,0.526444,1.118590,0.382685,0.787777,0.482658,7.622420
1,27,0.991644,1.245642,0.208343,0.618008,0.758063,9.708997
1,28,1.003310,1.242810,0.208237,0.611962,0.762981,8.828659
1,29,0.911710,1.254728,0.215078,0.657668,0.721952,8.117990
1,30,0.919767,1.278846,0.197998,0.658810,0.725787,7.251259
1,31,0.888821,1.108044,0.313999,0.629406,0.710811,6.592024
1,32,0.863516,1.206480,0.255131,0.669040,0.698065,6.333709
1,33,0.868334,1.204917,0.255314,0.666391,0.700527,5.873393
1,34,0.933069,1.195547,0.249693,0.633875,0.732022,5.624742
1,35,0.578239,1.112922,0.377205,0.765425,0.521384,3.868154
1,36,0.684270,1.424949,0.116883,0.795713,0.594288,4.092021
1,37,0.756237,1.220841,0.263768,0.722696,0.638855,4.209240
1,38,1.061678,1.169369,0.241410,0.568723,0.786305,5.099053
1,39,0.429605,1.199350,0.331865,0.851967,0.404991,3.264036
1,40,0.323358,1.038114,0.482405,0.818294,0.312540,3.102696
1,41,0.657197,1.115851,0.359045,0.733989,0.576495,3.413364
1,42,0.849319,1.350924,0.157718,0.705719,0.690714,3.646266
1,43,0.910245,1.247504,0.220056,0.656791,0.721250,2.887357
