pt,eta,phi,mass,tau21,vjet
1596.428223,-0.453123,-1.731443,82.400153,0.330411,1
1242.027710,0.668840,1.163148,227.339292,0.273036,0
565.302734,-0.576411,2.131336,89.257221,0.306454,1
726.771118,-1.882889,2.103231,102.107012,0.275243,1
569.464050,0.083296,-0.871791,103.486442,0.378796,1
704.865784,-0.423458,-2.774160,98.191017,0.466729,1
685.835938,1.215454,0.270600,108.886689,0.232505,1
905.915161,-1.079299,-2.371127,84.703664,0.475060,1
849.338013,-0.318745,0.618296,86.795863,0.478198,1
913.218323,-0.284871,-2.482562,81.276527,0.190999,1
786.725769,-0.051156,0.695952,105.238445,0.289342,1
316.032288,-1.427698,0.545212,3.627897,0.906961,0
877.132507,-0.396118,-0.940089,107.872539,0.201007,1
847.958252,0.326090,2.433815,93.827648,0.458528,1
188.754242,-0.341128,0.587029,24.840541,0.549782,0
653.571045,-1.195955,0.059713,90.787721,0.219131,1
610.501770,0.652917,3.090578,73.787918,0.710400,1
1196.673828,0.213209,0.979410,114.201177,0.274073,1
684.304138,0.593277,-1.813406,94.831183,0.192938,1
546.532776,-0.993391,-2.556646,127.972804,0.724964,0
616.009949,1.046795,2.559845,72.384469,0.397843,1
575.610046,-0.493004,-0.394735,84.748410,0.215659,1
915.335083,0.287140,-0.791977,90.278680,0.464133,1
871.805115,0.289812,2.360809,85.883149,0.423012,1
1740.100708,0.270772,1.875265,105.373467,0.209778,1
959.503601,1.510515,-1.050668,15.385743,0.567821,0
511.099792,-0.281705,-1.521794,130.226818,0.440430,1
952.427551,-0.837149,2.277989,96.298016,0.228476,1
794.033997,-0.777480,-0.905814,46.575965,0.509491,1
960.987915,0.719008,-1.476323,91.145194,0.257237,1
893.507629,1.292010,1.593117,123.821191,0.446271,1
973.470459,-0.149072,-2.410835,97.542841,0.310699,1
885.679688,0.498886,0.764109,97.551412,0.547021,1
881.283997,-0.602443,0.492507,100.213996,0.254507,1
737.820312,0.147015,-3.079899,76.342829,0.319888,1
244.754288,0.103999,-0.779878,68.017229,0.546932,0
186.970459,-0.807505,-1.412795,0.000000,0.784185,0
959.994934,-0.257171,-1.500152,93.952597,0.548192,1
862.804199,-0.087797,1.969654,88.192608,0.308954,1
371.624084,1.649721,0.616044,10.432631,0.721462,0
878.365356,0.282720,1.810125,96.733142,0.461247,1
872.685730,0.076503,-1.438049,80.927815,0.349341,1
935.331116,-0.063266,-2.943633,94.462836,0.223600,1
858.733337,0.037899,0.185330,73.055346,0.344138,1
1050.461426,0.624517,-0.265176,93.367498,0.626742,1
776.695374,-0.125312,2.232539,89.104907,0.293090,1
575.299500,-0.846708,-0.972670,1.653478,0.857589,0
482.506775,-0.177798,3.136843,2.559762,0.802706,0
403.793976,-1.256576,2.939026,9.629080,0.802351,0
857.257263,0.188296,-3.028614,90.139040,0.332935,1
773.400452,-0.724712,0.049068,50.550652,0.813521,1
968.217896,0.475098,1.191260,95.933344,0.187394,1
821.753845,0.620891,-2.012979,10.697300,0.485646,1
984.533936,0.988123,-2.832439,94.711863,0.157241,1
771.613525,0.154722,0.031813,94.722976,0.137071,1
180.024414,-1.052710,0.794404,0.000000,0.771222,0
